stage,path,artifact_number,exact_selector,left_pair_03_09,right_exit_pair_06_13,seed_role_pairs,seed_tuple_spaced,role_ab_named,role_e_named,selector_named,permission_named,admission_named,provenance_named
construction_ledger,labs/g900_observatory/artifacts/json/g900_six_nine_inside_outside_return_audit_001.v1.json,1,false,true,false,false,false,false,false,false,false,true,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_six_nine_limit_transition_23_24_boundary_probe_001.v1.json,1,false,true,true,false,false,false,false,false,false,true,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_six_nine_local_global_obstruction_probe_001.v1.json,1,false,true,true,false,false,false,false,true,false,true,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_six_nine_native_fork_law_probe_001.v1.json,1,false,true,false,false,false,false,false,false,false,true,true
construction_ledger,labs/g900_observatory/artifacts/json/g900_six_nine_obstruction_anatomy_001.v1.json,1,false,true,true,false,false,false,false,true,false,true,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_six_nine_orientation_law_candidate_001.v1.json,1,false,true,true,false,false,false,false,true,false,true,true
construction_ledger,labs/g900_observatory/artifacts/json/g900_six_nine_orientation_provenance_nonlabel_audit_001.v1.json,1,false,true,true,false,false,false,false,true,false,true,true
construction_ledger,labs/g900_observatory/artifacts/json/g900_six_nine_package_support_field_law_001.v1.json,1,false,true,true,false,false,false,false,true,false,true,true
construction_ledger,labs/g900_observatory/artifacts/json/g900_six_nine_sheet_wrap_candidate_inspection_001.v1.json,1,false,true,false,false,false,false,false,false,false,true,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,5,false,true,false,false,false,false,false,true,false,false,true
construction_ledger,labs/g900_observatory/artifacts/json/g900_six_nine_support_failure_table_001.v1.json,1,false,true,true,false,false,false,false,true,false,true,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_six_nine_two_route_half_turn_audit_001.v1.json,1,false,true,false,false,false,false,false,false,false,true,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_source_side_gap_9_11_anchor_split_audit_001.v1.json,1,false,true,false,false,false,false,false,true,false,true,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_source_side_gap_9_11_nearest_anchor_selector_audit_001.v1.json,1,false,true,false,false,false,false,false,true,false,true,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_source_side_gap_law_9_11_audit_001.v1.json,1,false,true,true,false,false,false,false,false,false,true,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_total_support_failure_family_001.v1.json,1,false,true,true,false,false,false,false,false,false,true,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_transition_length_minimal_origin_audit_001.v1.json,1,false,true,true,false,false,false,false,false,false,false,false
selector_stage,labs/g900_observatory/artifacts/json/g900_transport_pair_selector_admission_hypothesis_audit_022.v1.json,22,true,true,false,false,false,true,true,true,true,true,true
construction_ledger,labs/g900_observatory/artifacts/json/g900_triplet_gap_law_9_11_audit_001.v1.json,1,false,true,true,false,false,false,false,false,false,true,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_triplet_limit_alignment_03_09_root9_audit_001.v1.json,1,false,true,false,false,false,false,false,false,false,true,false
construction_ledger,labs/g900_observatory/artifacts/json/g900_zero_hit_condition_frontier_001.v1.json,1,false,true,false,false,false,false,false,false,false,true,true
construction_ledger,labs/g900_observatory/data/g900_admitted_permission_channels.v0.1.json,,false,true,true,false,false,false,false,false,true,true,false
construction_ledger,labs/g900_observatory/data/g900_carriers.v0.1.json,,false,true,true,false,false,false,false,true,false,false,true
construction_ledger,labs/g900_observatory/data/g900_channels.v0.1.json,,false,true,true,false,false,false,false,false,true,true,false
construction_ledger,labs/g900_observatory/data/g900_discrete_information_transport_contract.v0.1.json,,false,true,true,false,false,false,false,false,true,true,false
construction_ledger,labs/g900_observatory/notes/g900_0309_vs_0609_2324_fork_audit_001.md,1,false,true,false,false,false,false,false,false,false,true,false
construction_ledger,labs/g900_observatory/notes/g900_channel_admission_readiness_receipt_001.md,1,false,true,true,false,false,false,false,false,false,true,false
construction_ledger,labs/g900_observatory/notes/g900_channel_admission_recheck_after_semantics_001.md,1,false,true,true,false,false,false,false,false,false,true,false
construction_ledger,labs/g900_observatory/notes/g900_channel_render_contract_001.md,1,false,true,true,false,false,false,false,false,false,true,false
construction_ledger,labs/g900_observatory/notes/g900_channel_semantics_contract_001.md,1,false,true,true,false,false,false,false,false,false,true,false
construction_ledger,labs/g900_observatory/notes/g900_discrete_information_transport_contract_001.md,1,false,true,true,false,false,false,false,false,true,true,false
construction_ledger,labs/g900_observatory/notes/g900_explicit_return_cell_channel_admission_001.md,1,false,true,true,false,false,false,false,false,false,true,false
