selected,segment_role,from_vertex,to_vertex,from_slot,to_slot,from_limit,to_limit,anchor_limit,same_anchor_limit,target_endpoint_anchored,source_endpoint_anchored,source_limit_distance,target_limit_distance,total_limit_distance,edge_id,edge_index,selection_score
False,09_12,9:27,12:57,9,12,27,57,24,False,False,False,3,33,36,tuple_edge_2317,2317,1|1|3|36|2317
False,09_12,9:20,12:50,9,12,20,50,24,False,False,False,4,26,30,tuple_edge_2294,2294,1|1|4|30|2294
False,09_12,9:28,12:58,9,12,28,58,24,False,False,False,4,34,38,tuple_edge_2322,2322,1|1|4|38|2322
False,09_12,9:19,12:49,9,12,19,49,24,False,False,False,5,25,30,tuple_edge_2287,2287,1|1|5|30|2287
False,09_12,9:29,12:59,9,12,29,59,24,False,False,False,5,35,40,tuple_edge_2327,2327,1|1|5|40|2327
False,09_12,9:18,12:48,9,12,18,48,24,False,False,False,6,24,30,tuple_edge_2282,2282,1|1|6|30|2282
False,09_12,9:30,12:0,9,12,30,0,24,False,False,False,6,24,30,tuple_edge_2334,2334,1|1|6|30|2334
False,09_12,9:17,12:47,9,12,17,47,24,False,False,False,7,23,30,tuple_edge_2277,2277,1|1|7|30|2277
False,09_12,9:31,12:1,9,12,31,1,24,False,False,False,7,23,30,tuple_edge_2339,2339,1|1|7|30|2339
False,09_12,9:16,12:46,9,12,16,46,24,False,False,False,8,22,30,tuple_edge_2273,2273,1|1|8|30|2273
False,09_12,9:32,12:2,9,12,32,2,24,False,False,False,8,22,30,tuple_edge_2344,2344,1|1|8|30|2344
False,09_12,9:15,12:45,9,12,15,45,24,False,False,False,9,21,30,tuple_edge_2269,2269,1|1|9|30|2269
False,09_12,9:33,12:3,9,12,33,3,24,False,False,False,9,21,30,tuple_edge_2347,2347,1|1|9|30|2347
False,09_12,9:14,12:44,9,12,14,44,24,False,False,False,10,20,30,tuple_edge_2265,2265,1|1|10|30|2265
False,09_12,9:34,12:4,9,12,34,4,24,False,False,False,10,20,30,tuple_edge_2349,2349,1|1|10|30|2349
False,09_12,9:13,12:43,9,12,13,43,24,False,False,False,11,19,30,tuple_edge_2260,2260,1|1|11|30|2260
False,09_12,9:35,12:5,9,12,35,5,24,False,False,False,11,19,30,tuple_edge_2352,2352,1|1|11|30|2352
False,09_12,9:12,12:42,9,12,12,42,24,False,False,False,12,18,30,tuple_edge_2254,2254,1|1|12|30|2254
False,09_12,9:36,12:6,9,12,36,6,24,False,False,False,12,18,30,tuple_edge_2354,2354,1|1|12|30|2354
False,09_12,9:11,12:41,9,12,11,41,24,False,False,False,13,17,30,tuple_edge_2248,2248,1|1|13|30|2248
False,09_12,9:37,12:7,9,12,37,7,24,False,False,False,13,17,30,tuple_edge_2357,2357,1|1|13|30|2357
False,09_12,9:10,12:40,9,12,10,40,24,False,False,False,14,16,30,tuple_edge_2243,2243,1|1|14|30|2243
False,09_12,9:38,12:8,9,12,38,8,24,False,False,False,14,16,30,tuple_edge_2362,2362,1|1|14|30|2362
False,09_12,9:9,12:39,9,12,9,39,24,False,False,False,15,15,30,tuple_edge_2235,2235,1|1|15|30|2235
False,09_12,9:39,12:9,9,12,39,9,24,False,False,False,15,15,30,tuple_edge_2367,2367,1|1|15|30|2367
False,09_12,9:8,12:38,9,12,8,38,24,False,False,False,16,14,30,tuple_edge_2229,2229,1|1|16|30|2229
False,09_12,9:40,12:10,9,12,40,10,24,False,False,False,16,14,30,tuple_edge_2374,2374,1|1|16|30|2374
False,09_12,9:7,12:37,9,12,7,37,24,False,False,False,17,13,30,tuple_edge_2223,2223,1|1|17|30|2223
False,09_12,9:41,12:11,9,12,41,11,24,False,False,False,17,13,30,tuple_edge_2379,2379,1|1|17|30|2379
False,09_12,9:6,12:36,9,12,6,36,24,False,False,False,18,12,30,tuple_edge_2217,2217,1|1|18|30|2217
False,09_12,9:42,12:12,9,12,42,12,24,False,False,False,18,12,30,tuple_edge_2384,2384,1|1|18|30|2384
False,09_12,9:5,12:35,9,12,5,35,24,False,False,False,19,11,30,tuple_edge_2211,2211,1|1|19|30|2211
False,09_12,9:43,12:13,9,12,43,13,24,False,False,False,19,11,30,tuple_edge_2387,2387,1|1|19|30|2387
False,09_12,9:4,12:34,9,12,4,34,24,False,False,False,20,10,30,tuple_edge_2205,2205,1|1|20|30|2205
False,09_12,9:44,12:14,9,12,44,14,24,False,False,False,20,10,30,tuple_edge_2389,2389,1|1|20|30|2389
False,09_12,9:3,12:33,9,12,3,33,24,False,False,False,21,9,30,tuple_edge_2199,2199,1|1|21|30|2199
False,09_12,9:45,12:15,9,12,45,15,24,False,False,False,21,9,30,tuple_edge_2392,2392,1|1|21|30|2392
False,09_12,9:2,12:32,9,12,2,32,24,False,False,False,22,8,30,tuple_edge_2193,2193,1|1|22|30|2193
False,09_12,9:46,12:16,9,12,46,16,24,False,False,False,22,8,30,tuple_edge_2394,2394,1|1|22|30|2394
False,09_12,9:1,12:31,9,12,1,31,24,False,False,False,23,7,30,tuple_edge_2187,2187,1|1|23|30|2187
False,09_12,9:47,12:17,9,12,47,17,24,False,False,False,23,7,30,tuple_edge_2397,2397,1|1|23|30|2397
False,09_12,9:0,12:30,9,12,0,30,24,False,False,False,24,6,30,tuple_edge_2181,2181,1|1|24|30|2181
False,09_12,9:48,12:18,9,12,48,18,24,False,False,False,24,6,30,tuple_edge_2402,2402,1|1|24|30|2402
False,09_12,9:49,12:19,9,12,49,19,24,False,False,False,25,5,30,tuple_edge_2407,2407,1|1|25|30|2407
