candidate_index,A,B,C,D,E,role_pairs,unique_hits,miss_reasons
78160,3,4,9,1,7,03_04 04_09 01_09 01_07,3,DC:missing_target_anchor_edge
78168,3,4,9,2,1,03_04 04_09 02_09 02_01,3,DC:missing_target_anchor_edge
78171,3,4,9,2,7,03_04 04_09 02_09 02_07,3,DC:missing_target_anchor_edge
78172,3,4,9,2,8,03_04 04_09 02_09 02_08,3,DC:missing_target_anchor_edge
78178,3,4,9,5,0,03_04 04_09 05_09 05_00,3,DC:missing_target_anchor_edge
78184,3,4,9,5,10,03_04 04_09 05_09 05_10,3,DC:missing_target_anchor_edge
78188,3,4,9,5,14,03_04 04_09 05_09 05_14,3,DC:missing_target_anchor_edge
78189,3,4,9,6,0,03_04 04_09 06_09 06_00,3,DC:missing_target_anchor_edge
78190,3,4,9,6,1,03_04 04_09 06_09 06_01,3,DC:missing_target_anchor_edge
78197,3,4,9,6,12,03_04 04_09 06_09 06_12,3,DC:missing_target_anchor_edge
78198,3,4,9,6,13,03_04 04_09 06_09 06_13,3,DC:missing_target_anchor_edge
78201,3,4,9,7,1,03_04 04_09 07_09 07_01,3,DC:missing_target_anchor_edge
78202,3,4,9,7,2,03_04 04_09 07_09 07_02,3,DC:missing_target_anchor_edge
78206,3,4,9,7,10,03_04 04_09 07_09 07_10,3,DC:missing_target_anchor_edge
78207,3,4,9,7,11,03_04 04_09 07_09 07_11,3,DC:missing_target_anchor_edge
78213,3,4,9,8,2,03_04 04_09 08_09 08_02,3,DC:missing_target_anchor_edge
78220,3,4,9,8,13,03_04 04_09 08_09 08_13,3,DC:missing_target_anchor_edge
78221,3,4,9,8,14,03_04 04_09 08_09 08_14,3,DC:missing_target_anchor_edge
78225,3,4,9,10,5,03_04 04_09 10_09 10_05,3,DC:missing_target_anchor_edge
78227,3,4,9,10,7,03_04 04_09 10_09 10_07,3,DC:missing_target_anchor_edge
78229,3,4,9,10,11,03_04 04_09 10_09 10_11,3,DC:missing_target_anchor_edge
78232,3,4,9,10,14,03_04 04_09 10_09 10_14,3,DC:missing_target_anchor_edge
78233,3,4,9,11,0,03_04 04_09 11_09 11_00,3,DE:missing_target_anchor_edge
78234,3,4,9,11,1,03_04 04_09 11_09 11_01,3,DE:missing_target_anchor_edge
78235,3,4,9,11,2,03_04 04_09 11_09 11_02,3,DE:missing_target_anchor_edge
78236,3,4,9,11,5,03_04 04_09 11_09 11_05,3,DE:missing_target_anchor_edge
78237,3,4,9,11,6,03_04 04_09 11_09 11_06,3,DE:missing_target_anchor_edge
78239,3,4,9,11,8,03_04 04_09 11_09 11_08,3,DE:missing_target_anchor_edge
78242,3,4,9,11,13,03_04 04_09 11_09 11_13,3,DE:missing_target_anchor_edge
78243,3,4,9,11,14,03_04 04_09 11_09 11_14,3,DE:missing_target_anchor_edge
78244,3,4,9,12,0,03_04 04_09 12_09 12_00,3,DE:missing_target_anchor_edge
78245,3,4,9,12,1,03_04 04_09 12_09 12_01,3,DE:missing_target_anchor_edge
78246,3,4,9,12,2,03_04 04_09 12_09 12_02,3,DE:missing_target_anchor_edge
78247,3,4,9,12,5,03_04 04_09 12_09 12_05,3,DE:missing_target_anchor_edge
78249,3,4,9,12,7,03_04 04_09 12_09 12_07,3,DE:missing_target_anchor_edge
78250,3,4,9,12,8,03_04 04_09 12_09 12_08,3,DE:missing_target_anchor_edge
78251,3,4,9,12,10,03_04 04_09 12_09 12_10,3,DE:missing_target_anchor_edge
78254,3,4,9,12,14,03_04 04_09 12_09 12_14,3,DE:missing_target_anchor_edge
78259,3,4,9,13,6,03_04 04_09 13_09 13_06,3,DC:missing_target_anchor_edge
78261,3,4,9,13,8,03_04 04_09 13_09 13_08,3,DC:missing_target_anchor_edge
78264,3,4,9,13,12,03_04 04_09 13_09 13_12,3,DC:missing_target_anchor_edge
78265,3,4,9,13,14,03_04 04_09 13_09 13_14,3,DC:missing_target_anchor_edge
78269,3,4,9,14,5,03_04 04_09 14_09 14_05,3,DC:missing_target_anchor_edge
78272,3,4,9,14,8,03_04 04_09 14_09 14_08,3,DC:missing_target_anchor_edge
78273,3,4,9,14,10,03_04 04_09 14_09 14_10,3,DC:missing_target_anchor_edge
78276,3,4,9,14,13,03_04 04_09 14_09 14_13,3,DC:missing_target_anchor_edge
78310,3,4,10,5,0,03_04 04_10 05_10 05_00,3,BC:missing_target_anchor_edge
78320,3,4,10,5,14,03_04 04_10 05_10 05_14,3,BC:missing_target_anchor_edge
78333,3,4,10,7,1,03_04 04_10 07_10 07_01,3,BC:missing_target_anchor_edge
78334,3,4,10,7,2,03_04 04_10 07_10 07_02,3,BC:missing_target_anchor_edge
78339,3,4,10,7,11,03_04 04_10 07_10 07_11,3,BC:missing_target_anchor_edge
78370,3,4,10,11,7,03_04 04_10 11_10 11_07,3,BC:missing_target_anchor_edge
78372,3,4,10,11,9,03_04 04_10 11_10 11_09,3,BC:missing_target_anchor_edge
78373,3,4,10,11,12,03_04 04_10 11_10 11_12,3,BC:missing_target_anchor_edge
78401,3,4,10,14,5,03_04 04_10 14_10 14_05,3,BC:missing_target_anchor_edge
78404,3,4,10,14,8,03_04 04_10 14_10 14_08,3,BC:missing_target_anchor_edge
78408,3,4,10,14,13,03_04 04_10 14_10 14_13,3,BC:missing_target_anchor_edge
78465,3,4,11,7,1,03_04 04_11 07_11 07_01,3,BC:missing_target_anchor_edge
78466,3,4,11,7,2,03_04 04_11 07_11 07_02,3,BC:missing_target_anchor_edge
78471,3,4,11,7,10,03_04 04_11 07_11 07_10,3,BC:missing_target_anchor_edge
78494,3,4,11,9,12,03_04 04_11 09_11 09_12,3,BC:missing_target_anchor_edge
78500,3,4,11,10,5,03_04 04_11 10_11 10_05,3,BC:missing_target_anchor_edge
78502,3,4,11,10,7,03_04 04_11 10_11 10_07,3,BC:missing_target_anchor_edge
78507,3,4,11,10,14,03_04 04_11 10_11 10_14,3,BC:missing_target_anchor_edge
78512,3,4,11,12,6,03_04 04_11 12_11 12_06,3,BC:missing_target_anchor_edge
78515,3,4,11,12,9,03_04 04_11 12_11 12_09,3,BC:missing_target_anchor_edge
78517,3,4,11,12,13,03_04 04_11 12_11 12_13,3,BC:missing_target_anchor_edge
78585,3,4,12,6,0,03_04 04_12 06_12 06_00,3,BC:missing_target_anchor_edge
78586,3,4,12,6,1,03_04 04_12 06_12 06_01,3,BC:missing_target_anchor_edge
78594,3,4,12,6,13,03_04 04_12 06_12 06_13,3,BC:missing_target_anchor_edge
78626,3,4,12,9,11,03_04 04_12 09_12 09_11,3,BC:missing_target_anchor_edge
