candidate_kind,source_rail_id,target_rail_id,reason,evidence,admitted_as_channel
source_scaffold_to_carrier_handle,root_0_0_tuple_shell_depth_2,slot_14_internal_carrier,source provenance smoke rail may serve as a readout handle for this carrier,target_kind=slot_internal_carrier target_set=slot_internal_carriers,False
source_scaffold_to_carrier_handle,root_0_0_tuple_shell_depth_2,slot_pair_00_01_boundary_carrier,source provenance smoke rail may serve as a readout handle for this carrier,target_kind=slot_pair_boundary_carrier target_set=slot_pair_boundary_carriers,False
source_scaffold_to_carrier_handle,root_0_0_tuple_shell_depth_2,slot_pair_00_04_boundary_carrier,source provenance smoke rail may serve as a readout handle for this carrier,target_kind=slot_pair_boundary_carrier target_set=slot_pair_boundary_carriers,False
source_scaffold_to_carrier_handle,root_0_0_tuple_shell_depth_2,slot_pair_00_05_boundary_carrier,source provenance smoke rail may serve as a readout handle for this carrier,target_kind=slot_pair_boundary_carrier target_set=slot_pair_boundary_carriers,False
source_scaffold_to_carrier_handle,root_0_0_tuple_shell_depth_2,slot_pair_00_06_boundary_carrier,source provenance smoke rail may serve as a readout handle for this carrier,target_kind=slot_pair_boundary_carrier target_set=slot_pair_boundary_carriers,False
source_scaffold_to_carrier_handle,root_0_0_tuple_shell_depth_2,slot_pair_01_02_boundary_carrier,source provenance smoke rail may serve as a readout handle for this carrier,target_kind=slot_pair_boundary_carrier target_set=slot_pair_boundary_carriers,False
source_scaffold_to_carrier_handle,root_0_0_tuple_shell_depth_2,slot_pair_01_06_boundary_carrier,source provenance smoke rail may serve as a readout handle for this carrier,target_kind=slot_pair_boundary_carrier target_set=slot_pair_boundary_carriers,False
source_scaffold_to_carrier_handle,root_0_0_tuple_shell_depth_2,slot_pair_01_07_boundary_carrier,source provenance smoke rail may serve as a readout handle for this carrier,target_kind=slot_pair_boundary_carrier target_set=slot_pair_boundary_carriers,False
source_scaffold_to_carrier_handle,root_0_0_tuple_shell_depth_2,slot_pair_02_03_boundary_carrier,source provenance smoke rail may serve as a readout handle for this carrier,target_kind=slot_pair_boundary_carrier target_set=slot_pair_boundary_carriers,False
source_scaffold_to_carrier_handle,root_0_0_tuple_shell_depth_2,slot_pair_02_07_boundary_carrier,source provenance smoke rail may serve as a readout handle for this carrier,target_kind=slot_pair_boundary_carrier target_set=slot_pair_boundary_carriers,False
source_scaffold_to_carrier_handle,root_0_0_tuple_shell_depth_2,slot_pair_02_08_boundary_carrier,source provenance smoke rail may serve as a readout handle for this carrier,target_kind=slot_pair_boundary_carrier target_set=slot_pair_boundary_carriers,False
source_scaffold_to_carrier_handle,root_0_0_tuple_shell_depth_2,slot_pair_03_04_boundary_carrier,source provenance smoke rail may serve as a readout handle for this carrier,target_kind=slot_pair_boundary_carrier target_set=slot_pair_boundary_carriers,False
source_scaffold_to_carrier_handle,root_0_0_tuple_shell_depth_2,slot_pair_03_08_boundary_carrier,source provenance smoke rail may serve as a readout handle for this carrier,target_kind=slot_pair_boundary_carrier target_set=slot_pair_boundary_carriers,False
source_scaffold_to_carrier_handle,root_0_0_tuple_shell_depth_2,slot_pair_03_09_boundary_carrier,source provenance smoke rail may serve as a readout handle for this carrier,target_kind=slot_pair_boundary_carrier target_set=slot_pair_boundary_carriers,False
source_scaffold_to_carrier_handle,root_0_0_tuple_shell_depth_2,slot_pair_04_05_boundary_carrier,source provenance smoke rail may serve as a readout handle for this carrier,target_kind=slot_pair_boundary_carrier target_set=slot_pair_boundary_carriers,False
source_scaffold_to_carrier_handle,root_0_0_tuple_shell_depth_2,slot_pair_04_09_boundary_carrier,source provenance smoke rail may serve as a readout handle for this carrier,target_kind=slot_pair_boundary_carrier target_set=slot_pair_boundary_carriers,False
source_scaffold_to_carrier_handle,root_0_0_tuple_shell_depth_2,slot_pair_05_10_boundary_carrier,source provenance smoke rail may serve as a readout handle for this carrier,target_kind=slot_pair_boundary_carrier target_set=slot_pair_boundary_carriers,False
source_scaffold_to_carrier_handle,root_0_0_tuple_shell_depth_2,slot_pair_05_14_boundary_carrier,source provenance smoke rail may serve as a readout handle for this carrier,target_kind=slot_pair_boundary_carrier target_set=slot_pair_boundary_carriers,False
