candidate_index,A,B,C,D,E,role_pairs,anchors,q_edge_ids,q_sources,q_targets,known_return_cell_slots,known_return_cell_edges
298620,12,6,0,4,3,12_06 06_00 04_00 04_03,23 24 23 24,tuple_edge_1472 tuple_edge_851 tuple_edge_785 tuple_edge_612,12:23 6:54 4:53 4:24,6:23 0:24 0:23 3:24,false,false
298621,12,6,0,4,5,12_06 06_00 04_00 04_05,23 24 23 24,tuple_edge_1472 tuple_edge_851 tuple_edge_785 tuple_edge_1041,12:23 6:54 4:53 4:54,6:23 0:24 0:23 5:24,false,false
298624,12,6,0,4,9,12_06 06_00 04_00 04_09,23 24 23 24,tuple_edge_1472 tuple_edge_851 tuple_edge_785 tuple_edge_922,12:23 6:54 4:53 4:24,6:23 0:24 0:23 9:24,false,false
298632,12,6,0,5,4,12_06 06_00 05_00 05_04,23 24 23 24,tuple_edge_1472 tuple_edge_851 tuple_edge_786 tuple_edge_921,12:23 6:54 5:53 5:54,6:23 0:24 0:23 4:24,false,false
298636,12,6,0,5,10,12_06 06_00 05_00 05_10,23 24 23 24,tuple_edge_1472 tuple_edge_851 tuple_edge_786 tuple_edge_1204,12:23 6:54 5:53 5:24,6:23 0:24 0:23 10:24,false,false
298639,12,6,0,5,14,12_06 06_00 05_00 05_14,23 24 23 24,tuple_edge_1472 tuple_edge_851 tuple_edge_786 tuple_edge_1205,12:23 6:54 5:53 5:24,6:23 0:24 0:23 14:24,false,false
298719,12,6,1,0,4,12_06 06_01 00_01 00_04,23 24 23 24,tuple_edge_1472 tuple_edge_3433 tuple_edge_2175 tuple_edge_2236,12:23 6:54 0:53 0:54,6:23 1:24 1:23 4:24,false,false
298720,12,6,1,0,5,12_06 06_01 00_01 00_05,23 24 23 24,tuple_edge_1472 tuple_edge_3433 tuple_edge_2175 tuple_edge_2237,12:23 6:54 0:53 0:54,6:23 1:24 1:23 5:24,false,false
298729,12,6,1,2,3,12_06 06_01 02_01 02_03,23 24 23 24,tuple_edge_1472 tuple_edge_3433 tuple_edge_3388 tuple_edge_418,12:23 6:54 2:53 2:54,6:23 1:24 1:23 3:24,false,false
298732,12,6,1,2,7,12_06 06_01 02_01 02_07,23 24 23 24,tuple_edge_1472 tuple_edge_3433 tuple_edge_3388 tuple_edge_419,12:23 6:54 2:53 2:54,6:23 1:24 1:23 7:24,false,false
298733,12,6,1,2,8,12_06 06_01 02_01 02_08,23 24 23 24,tuple_edge_1472 tuple_edge_3433 tuple_edge_3388 tuple_edge_420,12:23 6:54 2:53 2:54,6:23 1:24 1:23 8:24,false,false
298773,12,6,1,7,2,12_06 06_01 07_01 07_02,23 24 23 24,tuple_edge_1472 tuple_edge_3433 tuple_edge_3390 tuple_edge_266,12:23 6:54 7:53 7:54,6:23 1:24 1:23 2:24,false,false
298779,12,6,1,7,10,12_06 06_01 07_01 07_10,23 24 23 24,tuple_edge_1472 tuple_edge_3433 tuple_edge_3390 tuple_edge_1760,12:23 6:54 7:53 7:24,6:23 1:24 1:23 10:24,false,false
298780,12,6,1,7,11,12_06 06_01 07_01 07_11,23 24 23 24,tuple_edge_1472 tuple_edge_3433 tuple_edge_3390 tuple_edge_1761,12:23 6:54 7:53 7:24,6:23 1:24 1:23 11:24,false,false
300116,12,6,13,8,2,12_06 06_13 08_13 08_02,23 24 23 24,tuple_edge_1472 tuple_edge_1475 tuple_edge_2038 tuple_edge_267,12:23 6:24 8:23 8:54,6:23 13:24 13:23 2:24,false,false
300117,12,6,13,8,3,12_06 06_13 08_13 08_03,23 24 23 24,tuple_edge_1472 tuple_edge_1475 tuple_edge_2038 tuple_edge_613,12:23 6:24 8:23 8:54,6:23 13:24 13:23 3:24,false,false
300124,12,6,13,8,14,12_06 06_13 08_13 08_14,23 24 23 24,tuple_edge_1472 tuple_edge_1475 tuple_edge_2038 tuple_edge_2041,12:23 6:24 8:23 8:24,6:23 13:24 13:23 14:24,false,false
300163,12,6,13,14,5,12_06 06_13 14_13 14_05,23 24 23 24,tuple_edge_1472 tuple_edge_1475 tuple_edge_3291 tuple_edge_1205,12:23 6:24 14:23 14:24,6:23 13:24 13:23 5:24,false,false
300165,12,6,13,14,8,12_06 06_13 14_13 14_08,23 24 23 24,tuple_edge_1472 tuple_edge_1475 tuple_edge_3291 tuple_edge_2041,12:23 6:24 14:23 14:24,6:23 13:24 13:23 8:24,false,false
300167,12,6,13,14,10,12_06 06_13 14_13 14_10,23 24 23 24,tuple_edge_1472 tuple_edge_1475 tuple_edge_3291 tuple_edge_2587,12:23 6:24 14:23 14:24,6:23 13:24 13:23 10:24,false,false
304152,12,9,3,2,1,12_09 09_03 02_03 02_01,23 24 23 24,tuple_edge_2307 tuple_edge_614 tuple_edge_415 tuple_edge_3432,12:53 9:24 2:53 2:54,9:23 3:24 3:23 1:24,false,false
304156,12,9,3,2,7,12_09 09_03 02_03 02_07,23 24 23 24,tuple_edge_2307 tuple_edge_614 tuple_edge_415 tuple_edge_419,12:53 9:24 2:53 2:54,9:23 3:24 3:23 7:24,false,false
304157,12,9,3,2,8,12_09 09_03 02_03 02_08,23 24 23 24,tuple_edge_2307 tuple_edge_614 tuple_edge_415 tuple_edge_420,12:53 9:24 2:53 2:54,9:23 3:24 3:23 8:24,false,false
304162,12,9,3,4,0,12_09 09_03 04_03 04_00,23 24 23 24,tuple_edge_2307 tuple_edge_614 tuple_edge_609 tuple_edge_849,12:53 9:24 4:23 4:54,9:23 3:24 3:23 0:24,false,false
304165,12,9,3,4,5,12_09 09_03 04_03 04_05,23 24 23 24,tuple_edge_2307 tuple_edge_614 tuple_edge_609 tuple_edge_1041,12:53 9:24 4:23 4:54,9:23 3:24 3:23 5:24,false,false
304208,12,9,3,8,2,12_09 09_03 08_03 08_02,23 24 23 24,tuple_edge_2307 tuple_edge_614 tuple_edge_610 tuple_edge_267,12:53 9:24 8:53 8:54,9:23 3:24 3:23 2:24,false,false
304215,12,9,3,8,13,12_09 09_03 08_03 08_13,23 24 23 24,tuple_edge_2307 tuple_edge_614 tuple_edge_610 tuple_edge_2040,12:53 9:24 8:53 8:24,9:23 3:24 3:23 13:24,false,false
304216,12,9,3,8,14,12_09 09_03 08_03 08_14,23 24 23 24,tuple_edge_2307 tuple_edge_614 tuple_edge_610 tuple_edge_2041,12:53 9:24 8:53 8:24,9:23 3:24 3:23 14:24,false,false
304261,12,9,4,0,1,12_09 09_04 00_04 00_01,23 24 23 24,tuple_edge_2307 tuple_edge_922 tuple_edge_2171 tuple_edge_2239,12:53 9:24 0:53 0:54,9:23 4:24 4:23 1:24,false,false
304264,12,9,4,0,5,12_09 09_04 00_04 00_05,23 24 23 24,tuple_edge_2307 tuple_edge_922 tuple_edge_2171 tuple_edge_2237,12:53 9:24 0:53 0:54,9:23 4:24 4:23 5:24,false,false
304265,12,9,4,0,6,12_09 09_04 00_04 00_06,23 24 23 24,tuple_edge_2307 tuple_edge_922 tuple_edge_2171 tuple_edge_2238,12:53 9:24 0:53 0:54,9:23 4:24 4:23 6:24,false,false
304296,12,9,4,3,2,12_09 09_04 03_04 03_02,23 24 23 24,tuple_edge_2307 tuple_edge_922 tuple_edge_609 tuple_edge_265,12:53 9:24 3:23 3:54,9:23 4:24 4:23 2:24,false,false
304300,12,9,4,3,8,12_09 09_04 03_04 03_08,23 24 23 24,tuple_edge_2307 tuple_edge_922 tuple_edge_609 tuple_edge_766,12:53 9:24 3:23 3:54,9:23 4:24 4:23 8:24,false,false
304305,12,9,4,5,0,12_09 09_04 05_04 05_00,23 24 23 24,tuple_edge_2307 tuple_edge_922 tuple_edge_919 tuple_edge_850,12:53 9:24 5:53 5:54,9:23 4:24 4:23 0:24,false,false
304312,12,9,4,5,10,12_09 09_04 05_04 05_10,23 24 23 24,tuple_edge_2307 tuple_edge_922 tuple_edge_919 tuple_edge_1204,12:53 9:24 5:53 5:24,9:23 4:24 4:23 10:24,false,false
304315,12,9,4,5,14,12_09 09_04 05_04 05_14,23 24 23 24,tuple_edge_2307 tuple_edge_922 tuple_edge_919 tuple_edge_1205,12:53 9:24 5:53 5:24,9:23 4:24 4:23 14:24,false,false
305131,12,9,11,7,1,12_09 09_11 07_11 07_01,23 24 23 24,tuple_edge_2307 tuple_edge_2424 tuple_edge_1759 tuple_edge_3434,12:53 9:54 7:23 7:54,9:23 11:24 11:23 1:24,false,false
305132,12,9,11,7,2,12_09 09_11 07_11 07_02,23 24 23 24,tuple_edge_2307 tuple_edge_2424 tuple_edge_1759 tuple_edge_266,12:53 9:54 7:23 7:54,9:23 11:24 11:23 2:24,false,false
305138,12,9,11,7,10,12_09 09_11 07_11 07_10,23 24 23 24,tuple_edge_2307 tuple_edge_2424 tuple_edge_1759 tuple_edge_1760,12:53 9:54 7:23 7:24,9:23 11:24 11:23 10:24,false,false
305157,12,9,11,10,5,12_09 09_11 10_11 10_05,23 24 23 24,tuple_edge_2307 tuple_edge_2424 tuple_edge_2584 tuple_edge_1204,12:53 9:54 10:23 10:24,9:23 11:24 11:23 5:24,false,false
305159,12,9,11,10,7,12_09 09_11 10_11 10_07,23 24 23 24,tuple_edge_2307 tuple_edge_2424 tuple_edge_2584 tuple_edge_1760,12:53 9:54 10:23 10:24,9:23 11:24 11:23 7:24,false,false
305162,12,9,11,10,14,12_09 09_11 10_11 10_14,23 24 23 24,tuple_edge_2307 tuple_edge_2424 tuple_edge_2584 tuple_edge_2587,12:53 9:54 10:23 10:24,9:23 11:24 11:23 14:24,false,false
308100,12,11,7,1,0,12_11 11_07 01_07 01_00,23 24 23 24,tuple_edge_2843 tuple_edge_1761 tuple_edge_75 tuple_edge_848,12:53 11:24 1:53 1:54,11:23 7:24 7:23 0:24,false,false
308101,12,11,7,1,2,12_11 11_07 01_07 01_02,23 24 23 24,tuple_edge_2843 tuple_edge_1761 tuple_edge_75 tuple_edge_76,12:53 11:24 1:53 1:54,11:23 7:24 7:23 2:24,false,false
308105,12,11,7,1,6,12_11 11_07 01_07 01_06,23 24 23 24,tuple_edge_2843 tuple_edge_1761 tuple_edge_75 tuple_edge_77,12:53 11:24 1:53 1:54,11:23 7:24 7:23 6:24,false,false
308112,12,11,7,2,1,12_11 11_07 02_07 02_01,23 24 23 24,tuple_edge_2843 tuple_edge_1761 tuple_edge_416 tuple_edge_3432,12:53 11:24 2:53 2:54,11:23 7:24 7:23 1:24,false,false
308113,12,11,7,2,3,12_11 11_07 02_07 02_03,23 24 23 24,tuple_edge_2843 tuple_edge_1761 tuple_edge_416 tuple_edge_418,12:53 11:24 2:53 2:54,11:23 7:24 7:23 3:24,false,false
308117,12,11,7,2,8,12_11 11_07 02_07 02_08,23 24 23 24,tuple_edge_2843 tuple_edge_1761 tuple_edge_416 tuple_edge_420,12:53 11:24 2:53 2:54,11:23 7:24 7:23 8:24,false,false
308193,12,11,7,10,5,12_11 11_07 10_07 10_05,23 24 23 24,tuple_edge_2843 tuple_edge_1761 tuple_edge_1758 tuple_edge_1204,12:53 11:24 10:23 10:24,11:23 7:24 7:23 5:24,false,false
308198,12,11,7,10,14,12_11 11_07 10_07 10_14,23 24 23 24,tuple_edge_2843 tuple_edge_1761 tuple_edge_1758 tuple_edge_2587,12:53 11:24 10:23 10:24,11:23 7:24 7:23 14:24,false,false
308388,12,11,9,3,2,12_11 11_09 03_09 03_02,23 24 23 24,tuple_edge_2843 tuple_edge_2308 tuple_edge_611 tuple_edge_265,12:53 11:54 3:23 3:54,11:23 9:24 9:23 2:24,false,false
308389,12,11,9,3,4,12_11 11_09 03_09 03_04,23 24 23 24,tuple_edge_2843 tuple_edge_2308 tuple_edge_611 tuple_edge_612,12:53 11:54 3:23 3:24,11:23 9:24 9:23 4:24,false,false
308393,12,11,9,3,8,12_11 11_09 03_09 03_08,23 24 23 24,tuple_edge_2843 tuple_edge_2308 tuple_edge_611 tuple_edge_766,12:53 11:54 3:23 3:54,11:23 9:24 9:23 8:24,false,false
308397,12,11,9,4,0,12_11 11_09 04_09 04_00,23 24 23 24,tuple_edge_2843 tuple_edge_2308 tuple_edge_920 tuple_edge_849,12:53 11:54 4:23 4:54,11:23 9:24 9:23 0:24,false,false
308400,12,11,9,4,3,12_11 11_09 04_09 04_03,23 24 23 24,tuple_edge_2843 tuple_edge_2308 tuple_edge_920 tuple_edge_612,12:53 11:54 4:23 4:24,11:23 9:24 9:23 3:24,false,false
308401,12,11,9,4,5,12_11 11_09 04_09 04_05,23 24 23 24,tuple_edge_2843 tuple_edge_2308 tuple_edge_920 tuple_edge_1041,12:53 11:54 4:23 4:54,11:23 9:24 9:23 5:24,false,false
308540,12,11,10,5,0,12_11 11_10 05_10 05_00,23 24 23 24,tuple_edge_2843 tuple_edge_2586 tuple_edge_1202 tuple_edge_850,12:53 11:24 5:23 5:54,11:23 10:24 10:23 0:24,false,false
308544,12,11,10,5,4,12_11 11_10 05_10 05_04,23 24 23 24,tuple_edge_2843 tuple_edge_2586 tuple_edge_1202 tuple_edge_921,12:53 11:24 5:23 5:54,11:23 10:24 10:23 4:24,false,false
308550,12,11,10,5,14,12_11 11_10 05_10 05_14,23 24 23 24,tuple_edge_2843 tuple_edge_2586 tuple_edge_1202 tuple_edge_1205,12:53 11:24 5:23 5:24,11:23 10:24 10:23 14:24,false,false
308563,12,11,10,7,1,12_11 11_10 07_10 07_01,23 24 23 24,tuple_edge_2843 tuple_edge_2586 tuple_edge_1758 tuple_edge_3434,12:53 11:24 7:23 7:54,11:23 10:24 10:23 1:24,false,false
308564,12,11,10,7,2,12_11 11_10 07_10 07_02,23 24 23 24,tuple_edge_2843 tuple_edge_2586 tuple_edge_1758 tuple_edge_266,12:53 11:24 7:23 7:54,11:23 10:24 10:23 2:24,false,false
308611,12,11,10,14,5,12_11 11_10 14_10 14_05,23 24 23 24,tuple_edge_2843 tuple_edge_2586 tuple_edge_2585 tuple_edge_1205,12:53 11:24 14:23 14:24,11:23 10:24 10:23 5:24,false,false
308614,12,11,10,14,8,12_11 11_10 14_10 14_08,23 24 23 24,tuple_edge_2843 tuple_edge_2586 tuple_edge_2585 tuple_edge_2041,12:53 11:24 14:23 14:24,11:23 10:24 10:23 8:24,false,false
308616,12,11,10,14,13,12_11 11_10 14_10 14_13,23 24 23 24,tuple_edge_2843 tuple_edge_2586 tuple_edge_2585 tuple_edge_3292,12:53 11:24 14:23 14:24,11:23 10:24 10:23 13:24,false,false
309673,12,13,6,0,1,12_13 13_06 00_06 00_01,23 24 23 24,tuple_edge_3070 tuple_edge_1475 tuple_edge_2173 tuple_edge_2239,12:23 13:24 0:53 0:54,13:23 6:24 6:23 1:24,false,false
309676,12,13,6,0,4,12_13 13_06 00_06 00_04,23 24 23 24,tuple_edge_3070 tuple_edge_1475 tuple_edge_2173 tuple_edge_2236,12:23 13:24 0:53 0:54,13:23 6:24 6:23 4:24,false,false
309677,12,13,6,0,5,12_13 13_06 00_06 00_05,23 24 23 24,tuple_edge_3070 tuple_edge_1475 tuple_edge_2173 tuple_edge_2237,12:23 13:24 0:53 0:54,13:23 6:24 6:23 5:24,false,false
309684,12,13,6,1,0,12_13 13_06 01_06 01_00,23 24 23 24,tuple_edge_3070 tuple_edge_1475 tuple_edge_74 tuple_edge_848,12:23 13:24 1:53 1:54,13:23 6:24 6:23 0:24,false,false
309685,12,13,6,1,2,12_13 13_06 01_06 01_02,23 24 23 24,tuple_edge_3070 tuple_edge_1475 tuple_edge_74 tuple_edge_76,12:23 13:24 1:53 1:54,13:23 6:24 6:23 2:24,false,false
309689,12,13,6,1,7,12_13 13_06 01_06 01_07,23 24 23 24,tuple_edge_3070 tuple_edge_1475 tuple_edge_74 tuple_edge_78,12:23 13:24 1:53 1:54,13:23 6:24 6:23 7:24,false,false
309960,12,13,8,2,1,12_13 13_08 02_08 02_01,23 24 23 24,tuple_edge_3070 tuple_edge_2040 tuple_edge_417 tuple_edge_3432,12:23 13:24 2:53 2:54,13:23 8:24 8:23 1:24,false,false
309961,12,13,8,2,3,12_13 13_08 02_08 02_03,23 24 23 24,tuple_edge_3070 tuple_edge_2040 tuple_edge_417 tuple_edge_418,12:23 13:24 2:53 2:54,13:23 8:24 8:23 3:24,false,false
309965,12,13,8,2,7,12_13 13_08 02_08 02_07,23 24 23 24,tuple_edge_3070 tuple_edge_2040 tuple_edge_417 tuple_edge_419,12:23 13:24 2:53 2:54,13:23 8:24 8:23 7:24,false,false
309972,12,13,8,3,2,12_13 13_08 03_08 03_02,23 24 23 24,tuple_edge_3070 tuple_edge_2040 tuple_edge_763 tuple_edge_265,12:23 13:24 3:53 3:54,13:23 8:24 8:23 2:24,false,false
309973,12,13,8,3,4,12_13 13_08 03_08 03_04,23 24 23 24,tuple_edge_3070 tuple_edge_2040 tuple_edge_763 tuple_edge_612,12:23 13:24 3:53 3:24,13:23 8:24 8:23 4:24,false,false
309977,12,13,8,3,9,12_13 13_08 03_08 03_09,23 24 23 24,tuple_edge_3070 tuple_edge_2040 tuple_edge_763 tuple_edge_614,12:23 13:24 3:53 3:24,13:23 8:24 8:23 9:24,false,false
310063,12,13,8,14,5,12_13 13_08 14_08 14_05,23 24 23 24,tuple_edge_3070 tuple_edge_2040 tuple_edge_2039 tuple_edge_1205,12:23 13:24 14:23 14:24,13:23 8:24 8:23 5:24,false,false
310067,12,13,8,14,10,12_13 13_08 14_08 14_10,23 24 23 24,tuple_edge_3070 tuple_edge_2040 tuple_edge_2039 tuple_edge_2587,12:23 13:24 14:23 14:24,13:23 8:24 8:23 10:24,false,false
310520,12,13,14,5,0,12_13 13_14 05_14 05_00,23 24 23 24,tuple_edge_3070 tuple_edge_3292 tuple_edge_1203 tuple_edge_850,12:23 13:24 5:23 5:54,13:23 14:24 14:23 0:24,false,false
310524,12,13,14,5,4,12_13 13_14 05_14 05_04,23 24 23 24,tuple_edge_3070 tuple_edge_3292 tuple_edge_1203 tuple_edge_921,12:23 13:24 5:23 5:54,13:23 14:24 14:23 4:24,false,false
310529,12,13,14,5,10,12_13 13_14 05_14 05_10,23 24 23 24,tuple_edge_3070 tuple_edge_3292 tuple_edge_1203 tuple_edge_1204,12:23 13:24 5:23 5:24,13:23 14:24 14:23 10:24,false,false
310555,12,13,14,8,2,12_13 13_14 08_14 08_02,23 24 23 24,tuple_edge_3070 tuple_edge_3292 tuple_edge_2039 tuple_edge_267,12:23 13:24 8:23 8:54,13:23 14:24 14:23 2:24,false,false
310556,12,13,14,8,3,12_13 13_14 08_14 08_03,23 24 23 24,tuple_edge_3070 tuple_edge_3292 tuple_edge_2039 tuple_edge_613,12:23 13:24 8:23 8:54,13:23 14:24 14:23 3:24,false,false
310580,12,13,14,10,5,12_13 13_14 10_14 10_05,23 24 23 24,tuple_edge_3070 tuple_edge_3292 tuple_edge_2585 tuple_edge_1204,12:23 13:24 10:23 10:24,13:23 14:24 14:23 5:24,false,false
310582,12,13,14,10,7,12_13 13_14 10_14 10_07,23 24 23 24,tuple_edge_3070 tuple_edge_3292 tuple_edge_2585 tuple_edge_1760,12:23 13:24 10:23 10:24,13:23 14:24 14:23 7:24,false,false
310585,12,13,14,10,11,12_13 13_14 10_14 10_11,23 24 23 24,tuple_edge_3070 tuple_edge_3292 tuple_edge_2585 tuple_edge_2586,12:23 13:24 10:23 10:24,13:23 14:24 14:23 11:24,false,false
322609,13,6,0,1,2,13_06 06_00 01_00 01_02,23 24 23 24,tuple_edge_1473 tuple_edge_851 tuple_edge_783 tuple_edge_76,13:23 6:54 1:53 1:54,6:23 0:24 0:23 2:24,false,false
322613,13,6,0,1,7,13_06 06_00 01_00 01_07,23 24 23 24,tuple_edge_1473 tuple_edge_851 tuple_edge_783 tuple_edge_78,13:23 6:54 1:53 1:54,6:23 0:24 0:23 7:24,false,false
322644,13,6,0,4,3,13_06 06_00 04_00 04_03,23 24 23 24,tuple_edge_1473 tuple_edge_851 tuple_edge_785 tuple_edge_612,13:23 6:54 4:53 4:24,6:23 0:24 0:23 3:24,false,false
322645,13,6,0,4,5,13_06 06_00 04_00 04_05,23 24 23 24,tuple_edge_1473 tuple_edge_851 tuple_edge_785 tuple_edge_1041,13:23 6:54 4:53 4:54,6:23 0:24 0:23 5:24,false,false
322648,13,6,0,4,9,13_06 06_00 04_00 04_09,23 24 23 24,tuple_edge_1473 tuple_edge_851 tuple_edge_785 tuple_edge_922,13:23 6:54 4:53 4:24,6:23 0:24 0:23 9:24,false,false
322656,13,6,0,5,4,13_06 06_00 05_00 05_04,23 24 23 24,tuple_edge_1473 tuple_edge_851 tuple_edge_786 tuple_edge_921,13:23 6:54 5:53 5:54,6:23 0:24 0:23 4:24,false,false
322660,13,6,0,5,10,13_06 06_00 05_00 05_10,23 24 23 24,tuple_edge_1473 tuple_edge_851 tuple_edge_786 tuple_edge_1204,13:23 6:54 5:53 5:24,6:23 0:24 0:23 10:24,false,false
322663,13,6,0,5,14,13_06 06_00 05_00 05_14,23 24 23 24,tuple_edge_1473 tuple_edge_851 tuple_edge_786 tuple_edge_1205,13:23 6:54 5:53 5:24,6:23 0:24 0:23 14:24,false,false
322743,13,6,1,0,4,13_06 06_01 00_01 00_04,23 24 23 24,tuple_edge_1473 tuple_edge_3433 tuple_edge_2175 tuple_edge_2236,13:23 6:54 0:53 0:54,6:23 1:24 1:23 4:24,false,false
322744,13,6,1,0,5,13_06 06_01 00_01 00_05,23 24 23 24,tuple_edge_1473 tuple_edge_3433 tuple_edge_2175 tuple_edge_2237,13:23 6:54 0:53 0:54,6:23 1:24 1:23 5:24,false,false
322753,13,6,1,2,3,13_06 06_01 02_01 02_03,23 24 23 24,tuple_edge_1473 tuple_edge_3433 tuple_edge_3388 tuple_edge_418,13:23 6:54 2:53 2:54,6:23 1:24 1:23 3:24,false,false
322756,13,6,1,2,7,13_06 06_01 02_01 02_07,23 24 23 24,tuple_edge_1473 tuple_edge_3433 tuple_edge_3388 tuple_edge_419,13:23 6:54 2:53 2:54,6:23 1:24 1:23 7:24,false,false
322757,13,6,1,2,8,13_06 06_01 02_01 02_08,23 24 23 24,tuple_edge_1473 tuple_edge_3433 tuple_edge_3388 tuple_edge_420,13:23 6:54 2:53 2:54,6:23 1:24 1:23 8:24,false,false
322797,13,6,1,7,2,13_06 06_01 07_01 07_02,23 24 23 24,tuple_edge_1473 tuple_edge_3433 tuple_edge_3390 tuple_edge_266,13:23 6:54 7:53 7:54,6:23 1:24 1:23 2:24,false,false
322803,13,6,1,7,10,13_06 06_01 07_01 07_10,23 24 23 24,tuple_edge_1473 tuple_edge_3433 tuple_edge_3390 tuple_edge_1760,13:23 6:54 7:53 7:24,6:23 1:24 1:23 10:24,false,false
322804,13,6,1,7,11,13_06 06_01 07_01 07_11,23 24 23 24,tuple_edge_1473 tuple_edge_3433 tuple_edge_3390 tuple_edge_1761,13:23 6:54 7:53 7:24,6:23 1:24 1:23 11:24,false,false
324152,13,6,12,9,3,13_06 06_12 09_12 09_03,23 24 23 24,tuple_edge_1473 tuple_edge_1474 tuple_edge_2423 tuple_edge_614,13:23 6:24 9:53 9:24,6:23 12:24 12:23 3:24,false,false
324153,13,6,12,9,4,13_06 06_12 09_12 09_04,23 24 23 24,tuple_edge_1473 tuple_edge_1474 tuple_edge_2423 tuple_edge_922,13:23 6:24 9:53 9:24,6:23 12:24 12:23 4:24,false,false
324158,13,6,12,9,11,13_06 06_12 09_12 09_11,23 24 23 24,tuple_edge_1473 tuple_edge_1474 tuple_edge_2423 tuple_edge_2424,13:23 6:24 9:53 9:54,6:23 12:24 12:23 11:24,false,false
324177,13,6,12,11,7,13_06 06_12 11_12 11_07,23 24 23 24,tuple_edge_1473 tuple_edge_1474 tuple_edge_2944 tuple_edge_1761,13:23 6:24 11:53 11:24,6:23 12:24 12:23 7:24,false,false
324179,13,6,12,11,9,13_06 06_12 11_12 11_09,23 24 23 24,tuple_edge_1473 tuple_edge_1474 tuple_edge_2944 tuple_edge_2308,13:23 6:24 11:53 11:54,6:23 12:24 12:23 9:24,false,false
324180,13,6,12,11,10,13_06 06_12 11_12 11_10,23 24 23 24,tuple_edge_1473 tuple_edge_1474 tuple_edge_2944 tuple_edge_2586,13:23 6:24 11:53 11:24,6:23 12:24 12:23 10:24,false,false
326316,13,8,2,1,0,13_08 08_02 01_02 01_00,23 24 23 24,tuple_edge_2038 tuple_edge_267 tuple_edge_73 tuple_edge_848,13:23 8:54 1:53 1:54,8:23 2:24 2:23 0:24,false,false
326320,13,8,2,1,6,13_08 08_02 01_02 01_06,23 24 23 24,tuple_edge_2038 tuple_edge_267 tuple_edge_73 tuple_edge_77,13:23 8:54 1:53 1:54,8:23 2:24 2:23 6:24,false,false
326321,13,8,2,1,7,13_08 08_02 01_02 01_07,23 24 23 24,tuple_edge_2038 tuple_edge_267 tuple_edge_73 tuple_edge_78,13:23 8:54 1:53 1:54,8:23 2:24 2:23 7:24,false,false
326329,13,8,2,3,4,13_08 08_02 03_02 03_04,23 24 23 24,tuple_edge_2038 tuple_edge_267 tuple_edge_262 tuple_edge_612,13:23 8:54 3:53 3:24,8:23 2:24 2:23 4:24,false,false
326333,13,8,2,3,9,13_08 08_02 03_02 03_09,23 24 23 24,tuple_edge_2038 tuple_edge_267 tuple_edge_262 tuple_edge_614,13:23 8:54 3:53 3:24,8:23 2:24 2:23 9:24,false,false
326372,13,8,2,7,1,13_08 08_02 07_02 07_01,23 24 23 24,tuple_edge_2038 tuple_edge_267 tuple_edge_263 tuple_edge_3434,13:23 8:54 7:53 7:54,8:23 2:24 2:23 1:24,false,false
326378,13,8,2,7,10,13_08 08_02 07_02 07_10,23 24 23 24,tuple_edge_2038 tuple_edge_267 tuple_edge_263 tuple_edge_1760,13:23 8:54 7:53 7:24,8:23 2:24 2:23 10:24,false,false
326379,13,8,2,7,11,13_08 08_02 07_02 07_11,23 24 23 24,tuple_edge_2038 tuple_edge_267 tuple_edge_263 tuple_edge_1761,13:23 8:54 7:53 7:24,8:23 2:24 2:23 11:24,false,false
326460,13,8,3,2,1,13_08 08_03 02_03 02_01,23 24 23 24,tuple_edge_2038 tuple_edge_613 tuple_edge_415 tuple_edge_3432,13:23 8:54 2:53 2:54,8:23 3:24 3:23 1:24,false,false
326464,13,8,3,2,7,13_08 08_03 02_03 02_07,23 24 23 24,tuple_edge_2038 tuple_edge_613 tuple_edge_415 tuple_edge_419,13:23 8:54 2:53 2:54,8:23 3:24 3:23 7:24,false,false
326470,13,8,3,4,0,13_08 08_03 04_03 04_00,23 24 23 24,tuple_edge_2038 tuple_edge_613 tuple_edge_609 tuple_edge_849,13:23 8:54 4:23 4:54,8:23 3:24 3:23 0:24,false,false
326473,13,8,3,4,5,13_08 08_03 04_03 04_05,23 24 23 24,tuple_edge_2038 tuple_edge_613 tuple_edge_609 tuple_edge_1041,13:23 8:54 4:23 4:54,8:23 3:24 3:23 5:24,false,false
326476,13,8,3,4,9,13_08 08_03 04_03 04_09,23 24 23 24,tuple_edge_2038 tuple_edge_613 tuple_edge_609 tuple_edge_922,13:23 8:54 4:23 4:24,8:23 3:24 3:23 9:24,false,false
326517,13,8,3,9,4,13_08 08_03 09_03 09_04,23 24 23 24,tuple_edge_2038 tuple_edge_613 tuple_edge_611 tuple_edge_922,13:23 8:54 9:23 9:24,8:23 3:24 3:23 4:24,false,false
326522,13,8,3,9,11,13_08 08_03 09_03 09_11,23 24 23 24,tuple_edge_2038 tuple_edge_613 tuple_edge_611 tuple_edge_2424,13:23 8:54 9:23 9:54,8:23 3:24 3:23 11:24,false,false
326523,13,8,3,9,12,13_08 08_03 09_03 09_12,23 24 23 24,tuple_edge_2038 tuple_edge_613 tuple_edge_611 tuple_edge_2425,13:23 8:54 9:23 9:54,8:23 3:24 3:23 12:24,false,false
