candidate_index,A,B,C,D,E,role_pairs,anchors,q_edge_ids,q_sources,q_targets,known_return_cell_slots,known_return_cell_edges
10101,0,6,13,8,3,00_06 06_13 08_13 08_03,23 24 23 24,tuple_edge_2173 tuple_edge_1475 tuple_edge_2038 tuple_edge_613,0:53 6:24 8:23 8:54,6:23 13:24 13:23 3:24,false,false
10109,0,6,13,8,14,00_06 06_13 08_13 08_14,23 24 23 24,tuple_edge_2173 tuple_edge_1475 tuple_edge_2038 tuple_edge_2041,0:53 6:24 8:23 8:24,6:23 13:24 13:23 14:24,false,false
10150,0,6,13,12,9,00_06 06_13 12_13 12_09,23 24 23 24,tuple_edge_2173 tuple_edge_1475 tuple_edge_3070 tuple_edge_2309,0:53 6:24 12:23 12:54,6:23 13:24 13:23 9:24,false,false
10152,0,6,13,12,11,00_06 06_13 12_13 12_11,23 24 23 24,tuple_edge_2173 tuple_edge_1475 tuple_edge_3070 tuple_edge_2844,0:53 6:24 12:23 12:54,6:23 13:24 13:23 11:24,false,false
10158,0,6,13,14,5,00_06 06_13 14_13 14_05,23 24 23 24,tuple_edge_2173 tuple_edge_1475 tuple_edge_3291 tuple_edge_1205,0:53 6:24 14:23 14:24,6:23 13:24 13:23 5:24,false,false
10160,0,6,13,14,8,00_06 06_13 14_13 14_08,23 24 23 24,tuple_edge_2173 tuple_edge_1475 tuple_edge_3291 tuple_edge_2041,0:53 6:24 14:23 14:24,6:23 13:24 13:23 8:24,false,false
10162,0,6,13,14,10,00_06 06_13 14_13 14_10,23 24 23 24,tuple_edge_2173 tuple_edge_1475 tuple_edge_3291 tuple_edge_2587,0:53 6:24 14:23 14:24,6:23 13:24 13:23 10:24,false,false
24300,1,0,4,3,2,01_00 00_04 03_04 03_02,23 24 23 24,tuple_edge_783 tuple_edge_2236 tuple_edge_609 tuple_edge_265,1:53 0:54 3:23 3:54,0:23 4:24 4:23 2:24,false,false
24304,1,0,4,3,8,01_00 00_04 03_04 03_08,23 24 23 24,tuple_edge_783 tuple_edge_2236 tuple_edge_609 tuple_edge_766,1:53 0:54 3:23 3:54,0:23 4:24 4:23 8:24,false,false
24305,1,0,4,3,9,01_00 00_04 03_04 03_09,23 24 23 24,tuple_edge_783 tuple_edge_2236 tuple_edge_609 tuple_edge_614,1:53 0:54 3:23 3:24,0:23 4:24 4:23 9:24,false,false
24317,1,0,4,5,10,01_00 00_04 05_04 05_10,23 24 23 24,tuple_edge_783 tuple_edge_2236 tuple_edge_919 tuple_edge_1204,1:53 0:54 5:53 5:24,0:23 4:24 4:23 10:24,false,false
24321,1,0,4,5,14,01_00 00_04 05_04 05_14,23 24 23 24,tuple_edge_783 tuple_edge_2236 tuple_edge_919 tuple_edge_1205,1:53 0:54 5:53 5:24,0:23 4:24 4:23 14:24,false,false
24356,1,0,4,9,3,01_00 00_04 09_04 09_03,23 24 23 24,tuple_edge_783 tuple_edge_2236 tuple_edge_920 tuple_edge_614,1:53 0:54 9:23 9:24,0:23 4:24 4:23 3:24,false,false
24362,1,0,4,9,11,01_00 00_04 09_04 09_11,23 24 23 24,tuple_edge_783 tuple_edge_2236 tuple_edge_920 tuple_edge_2424,1:53 0:54 9:23 9:54,0:23 4:24 4:23 11:24,false,false
24363,1,0,4,9,12,01_00 00_04 09_04 09_12,23 24 23 24,tuple_edge_783 tuple_edge_2236 tuple_edge_920 tuple_edge_2425,1:53 0:54 9:23 9:54,0:23 4:24 4:23 12:24,false,false
24444,1,0,5,4,3,01_00 00_05 04_05 04_03,23 24 23 24,tuple_edge_783 tuple_edge_2237 tuple_edge_1039 tuple_edge_612,1:53 0:54 4:53 4:24,0:23 5:24 5:23 3:24,false,false
24448,1,0,5,4,9,01_00 00_05 04_05 04_09,23 24 23 24,tuple_edge_783 tuple_edge_2237 tuple_edge_1039 tuple_edge_922,1:53 0:54 4:53 4:24,0:23 5:24 5:23 9:24,false,false
24502,1,0,5,10,7,01_00 00_05 10_05 10_07,23 24 23 24,tuple_edge_783 tuple_edge_2237 tuple_edge_1202 tuple_edge_1760,1:53 0:54 10:23 10:24,0:23 5:24 5:23 7:24,false,false
24505,1,0,5,10,11,01_00 00_05 10_05 10_11,23 24 23 24,tuple_edge_783 tuple_edge_2237 tuple_edge_1202 tuple_edge_2586,1:53 0:54 10:23 10:24,0:23 5:24 5:23 11:24,false,false
