path,artifact_number,construction_class,left_pair_03_09,right_exit_pair_06_13,exact_selector,role_ab_named,role_e_named,relation_claim_language,return_cell,channel,admission,permission,provenance,source,carrier,endpoint,root,phase,ladder,transition,package,support,anchor,fork
labs/g900_observatory/artifacts/json/g900_six_nine_half_turn_witness_probe_001.v1.json,1,channel_or_admission,true,true,false,false,false,false,false,true,true,false,true,true,true,false,true,false,false,true,true,true,false,false
labs/g900_observatory/artifacts/json/g900_six_nine_limit_transition_23_24_boundary_probe_001.v1.json,1,channel_or_admission,true,true,false,false,false,false,false,true,true,false,false,true,true,false,true,false,false,true,true,true,false,false
labs/g900_observatory/artifacts/json/g900_six_nine_local_global_obstruction_probe_001.v1.json,1,channel_or_admission,true,true,false,false,false,false,false,true,true,false,false,true,true,false,true,true,false,true,true,true,false,false
labs/g900_observatory/artifacts/json/g900_six_nine_obstruction_anatomy_001.v1.json,1,channel_or_admission,true,true,false,false,false,false,false,true,true,false,false,true,true,true,true,true,false,true,true,true,false,false
labs/g900_observatory/artifacts/json/g900_six_nine_orientation_law_candidate_001.v1.json,1,channel_or_admission,true,true,false,false,false,false,false,true,true,false,true,false,true,false,true,false,false,true,true,true,false,false
labs/g900_observatory/artifacts/json/g900_six_nine_orientation_provenance_nonlabel_audit_001.v1.json,1,channel_or_admission,true,true,false,false,false,false,false,true,true,false,true,false,true,false,true,false,false,true,true,true,false,false
labs/g900_observatory/artifacts/json/g900_six_nine_package_support_field_law_001.v1.json,1,channel_or_admission,true,true,false,false,false,false,false,true,true,false,true,true,true,false,true,false,false,true,true,true,false,false
labs/g900_observatory/artifacts/json/g900_six_nine_support_failure_table_001.v1.json,1,channel_or_admission,true,true,false,false,false,false,false,true,true,false,false,true,true,true,true,true,false,true,true,true,false,false
labs/g900_observatory/artifacts/json/g900_source_side_gap_law_9_11_audit_001.v1.json,1,channel_or_admission,true,true,false,false,false,false,false,true,true,false,false,true,false,true,true,true,true,true,false,true,true,true
labs/g900_observatory/artifacts/json/g900_total_support_failure_family_001.v1.json,1,channel_or_admission,true,true,false,false,false,false,false,true,true,false,false,false,true,false,false,false,false,true,true,true,false,false
labs/g900_observatory/artifacts/json/g900_transition_length_minimal_origin_audit_001.v1.json,1,channel_or_admission,true,true,false,false,false,false,false,true,false,false,false,false,true,true,false,false,false,true,true,false,false,false
labs/g900_observatory/artifacts/json/g900_triplet_gap_law_9_11_audit_001.v1.json,1,channel_or_admission,true,true,false,false,false,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true
labs/g900_observatory/data/g900_admitted_permission_channels.v0.1.json,,channel_or_admission,true,true,false,false,false,false,true,true,true,true,false,true,true,false,false,false,true,false,false,false,true,false
labs/g900_observatory/data/g900_carriers.v0.1.json,,carrier,true,true,false,false,false,false,false,false,false,false,true,true,true,true,true,false,false,false,false,false,false,false
