root,root_local,label_at_30,dominant_label,dominant_label_count,distinct_label_count,switch_count,compressed_sequence,has_12_to_6,has_6_to_9,has_9_to_12,has_6_12_to_12,has_core_triangle,transition_positions,direct_6_9_boundary_carrier_exists,flanking_6_12_boundary_carrier_exists,flanking_9_12_boundary_carrier_exists,channels_admitted
12:36,36,9,12,35,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 11, ""to_limit"": 12}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:37,37,9,12,35,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 11, ""to_limit"": 12}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:38,38,9,12,35,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 11, ""to_limit"": 12}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:39,39,9,12,35,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 11, ""to_limit"": 12}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:40,40,9,12,36,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 12, ""to_limit"": 13}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:41,41,9,12,36,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 12, ""to_limit"": 13}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:42,42,9,12,36,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 12, ""to_limit"": 13}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:43,43,9,12,36,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 12, ""to_limit"": 13}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:44,44,9,12,36,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 12, ""to_limit"": 13}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:45,45,9,12,36,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 12, ""to_limit"": 13}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
