transition,from_label,to_label,transition_kind,pair_key,count,root_count,root_slot_counts,sample_roots,channels_admitted
2/7 -> 7,2/7,7,pair_to_single,2/7,40,40,"{""7"": 40}",7:0 7:1 7:2 7:3 7:4 7:5 7:6 7:7 7:8 7:9 7:30 7:31 7:32 7:33 7:34 7:35 7:36 7:37 7:38 7:39 7:40 7:41 7:42 7:43,False
7 -> 2,7,2,single_to_single,2/7,40,40,"{""7"": 40}",7:0 7:1 7:2 7:3 7:4 7:5 7:6 7:7 7:8 7:9 7:30 7:31 7:32 7:33 7:34 7:35 7:36 7:37 7:38 7:39 7:40 7:41 7:42 7:43,False
1 -> 0,1,0,single_to_single,0/1,39,39,"{""0"": 1, ""1"": 38}",0:14 1:0 1:1 1:2 1:3 1:4 1:5 1:6 1:7 1:8 1:9 1:10 1:11 1:12 1:13 1:14 1:15 1:16 1:17 1:18 1:19 1:20 1:21 1:22,False
4/5 -> 5,4/5,5,pair_to_single,4/5,37,37,"{""5"": 37}",5:0 5:1 5:2 5:3 5:4 5:5 5:6 5:7 5:8 5:9 5:10 5:11 5:12 5:13 5:14 5:15 5:16 5:17 5:18 5:19 5:20 5:21 5:22 5:23,False
0 -> 6,0,6,single_to_single,0/6,30,30,"{""1"": 1, ""6"": 29}",1:6 6:0 6:1 6:2 6:3 6:4 6:5 6:30 6:31 6:32 6:40 6:41 6:42 6:43 6:44 6:45 6:46 6:47 6:48 6:49 6:50 6:51 6:52 6:53,False
6 -> 0,6,0,single_to_single,0/6,30,30,"{""1"": 1, ""6"": 29}",1:6 6:0 6:1 6:2 6:3 6:4 6:5 6:30 6:31 6:32 6:40 6:41 6:42 6:43 6:44 6:45 6:46 6:47 6:48 6:49 6:50 6:51 6:52 6:53,False
0/6 -> 6,0/6,6,pair_to_single,0/6,29,29,"{""6"": 29}",6:0 6:1 6:2 6:3 6:4 6:5 6:30 6:31 6:32 6:40 6:41 6:42 6:43 6:44 6:45 6:46 6:47 6:48 6:49 6:50 6:51 6:52 6:53 6:54,False
0/5 -> 5,0/5,5,pair_to_single,0/5,23,23,"{""5"": 23}",5:30 5:31 5:32 5:40 5:41 5:42 5:43 5:44 5:45 5:46 5:47 5:48 5:49 5:50 5:51 5:52 5:53 5:54 5:55 5:56 5:57 5:58 5:59,False
1/2 -> 2,1/2,2,pair_to_single,1/2,20,20,"{""2"": 20}",2:10 2:11 2:12 2:13 2:14 2:15 2:16 2:17 2:18 2:19 2:20 2:21 2:22 2:23 2:24 2:25 2:26 2:27 2:28 2:29,False
1/6 -> 6,1/6,6,pair_to_single,1/6,20,20,"{""6"": 20}",6:10 6:11 6:12 6:13 6:14 6:15 6:16 6:17 6:18 6:19 6:20 6:21 6:22 6:23 6:24 6:25 6:26 6:27 6:28 6:29,False
6 -> 1,6,1,single_to_single,1/6,20,20,"{""6"": 20}",6:10 6:11 6:12 6:13 6:14 6:15 6:16 6:17 6:18 6:19 6:20 6:21 6:22 6:23 6:24 6:25 6:26 6:27 6:28 6:29,False
1 -> 6,1,6,single_to_single,1/6,20,20,"{""6"": 20}",6:10 6:11 6:12 6:13 6:14 6:15 6:16 6:17 6:18 6:19 6:20 6:21 6:22 6:23 6:24 6:25 6:26 6:27 6:28 6:29,False
1/7 -> 7,1/7,7,pair_to_single,1/7,20,20,"{""7"": 20}",7:10 7:11 7:12 7:13 7:14 7:15 7:16 7:17 7:18 7:19 7:20 7:21 7:22 7:23 7:24 7:25 7:26 7:27 7:28 7:29,False
7 -> 1,7,1,single_to_single,1/7,20,20,"{""7"": 20}",7:10 7:11 7:12 7:13 7:14 7:15 7:16 7:17 7:18 7:19 7:20 7:21 7:22 7:23 7:24 7:25 7:26 7:27 7:28 7:29,False
0/4 -> 4,0/4,4,pair_to_single,0/4,19,19,"{""4"": 19}",4:30 4:31 4:40 4:41 4:42 4:43 4:44 4:45 4:46 4:47 4:48 4:49 4:50 4:51 4:52 4:53 4:54 4:56 4:57,False
